"TABLE  3.—Food  composition  of  various  sizes  of  NotroPis  zonistius,  expressed",,,,
as  percent  volume.  N  represents  the  number  of  fsh  with  food  in  each  length,,,,
group,,,,
,,Length  group  .mm),,
,16-25,26-35,36-45,46-55
,N  = 30,106,113,119
Diptera,27,18,17,12
Ephemeroptera,5,15,12,9
Trichoptera,11,7,3,3
Coleoptera,3,1,1,1
Odonata,,,,1
Collembola,22,17,1,
Terrestrial,12,28,41,59
Unidentifed,13,9,16,10
Hydracarina,,,tr,tr
Cladocera,tr,,,
Oligochaeta,3,1,1,
Detritus,2,2,5,2
Algae,1,tr,tr,tr
Diatoms,,tr,tr,1
Plant  seeds,,,,1
Eggs,,,2,
Fish,,,----,
tr =  less  than  0.5  %,,,,
,TABLE  3.—(continued),,,
,,Length  group  (mm),,
,56-65,66-75,76-85,86-95
,128,59,29,7
Diptera,6,8,11,17
Ephemeroptera,5,7,13,4
Trichoptera,5,3,2,
Coleoptera,1,3,,
Odonata,2,2,,22
Collembola,,,,
Terrestrial,63,45,57,47
Unidentifed,14,14,2,10
Hydracarina,,,,
Cladocera,,,,
Oligochaeta,,,,
Detritus,3,15,14,
Algae,3,1,1,
Diatoms,1,1,tr,
Plant  seeds,,,,
Eggs,,,,
Fish,,,,
