author,year
abelha,2006
ager,1975
albrecht,
alexander and perkin,
almeida,
sreeraj,
umeh,
brown,1938
miller,
harris,
sammons,
mendes,
roman,
dorgeloh,
maddern,
montana,
oribhabor,
oso,
arawomo,
clarkson,
adalsteinsson,
adite,
almeida,
aranha,
crawford and breder,
darnell,
drawnary,
dedgeon,
edds,
flemmer,
galat,
gerking,
gomes,
hambrick,
heins,
heins,
hellawell,
holder,
kido,
leimann,
laakso,
lachner,
lammens,
leonardo,
li,
mathur,
meyers,
naiman,
offem,
olantunde,
olatunde,
ozdilek,
politou,
pollard,
reed,
sanchez,
scott,
sibbing,
surber,
wahl,
wallace,
wasserman,
wilde,
williams,1980
williams,2006
