"","prey_taxon"
"1","detritus sediment"
"2","fruits seeds_angyospermae"
"3","root leaf_stem_angyospermae"
"4","pteridophyta"
"5","penales"
"6","centrales"
"7","diptera larvae_and_pupae"
"8","chironomidae larvae_and_pupae"
"9","hemiptera 44"
"10","testacea"
"11","hemiptera 61"
"12","detritus"
"13","benthic diatoms"
"14","decaying aquatic_leaves"
"15","brachionus spp"
"16","limnia spp"
"17","pholidina spp"
"18","sand grains"
"19","detritus mud"
"20","faecal matter"
"21","nymphea spp"
"22","bosminopsis deitersi"
"23","bosminopsis negrensis"
"24","bosminopsis sp"
"25","bosmina hagmani"
"26","ceriodaphnia cornuta"
"27","moina rostrata"
"28","moina minuta"
"29","ilyocriptus sp"
"30","unidentified cladocera"
"31","ephippial eggs"
"32","diptera winged_forms"
"33","dvtiscidae"
"34","acarinae"
"35","s mossambicus"
"36","p philander"
"37","cichlid fry"
"38","g giurus"
"39","h orbiculare"
"40","c nilotica"
"41","p sidneyi"
"42","g lignorunz"
"43","p latipes"
"44","c carinata"
"45","p adttsta"
"46","m tuberctdatus"
"47","bulinus spp"
"48","ch ironom_id_larvae"
"49","ephemeropteran nymphs"
"50","oligocaete worms"
"51","tilapia spp"
"52","brycinus spp"
"53","cyprinodonts"
"54","chironorniel larvae"
"55","arachnids water_mites"
"56","hymenoptera ants"
"57","oligochaete worms"
"58","brychius spp"
"59","ostracode shrimps"
"60","hemiptera water_bugs"
"61","coleptera"
"62","diptera mosquito_larvae"
"63","and eggs"
"64","isoptera termites"
"65","mud"
"66","cyanophytes"
"67","dinoflagelates"
"68","immature insects"
"69","adults insects"
"70","tadpoles"
"71","unidentified items"
"72","formicoidea"
"73","terr coleoptera"
"74","arachnea"
"75","coarse litter"
"76","chitinous remains"
"77","aquat cole_optera"
"78","hemipteroidea"
"79","sand"
"80","lsoptera"
"81","aquat coleoptera"
"82","terr co_leoptera"
"83","diptera 29"
"84","diptera 43"
"85","fiches"
"86","ten coleoptera"
"87","euglena sp"
"88","higher plant_fagments"
"89","naacrophytes"
"90","desmids"
"91","blue green_algae"
"92","flamentous algae"
"93","dinoflagellates"
"94","algal spores"
"95","pseudorasbora parva"
"96","hemiculter leucisculus"
"97","cultrichthys erythropterus"
"98","carassius auratus"
"99","abbottina rivularis"
"100","sarcocheilichthys"
"101","acheilognathus 31"
"102","acheilognathus 32"
"103","toxabramis swinhonis"
"104","squalidus nitens"
"105","paracheilognathus"
"106","rhodeus sp"
"107","perciformes"
"108","rhinogobius giurinus"
"109","odontobutis obscurus"
"110","micropercops swinhonis"
"111","channa argus"
"112","mastacembelus sinensis"
"113","siniperca chuatsi"
"114","pelteobagrus fulvidraco"
"115","fruit"
"116","ephemeroptera ninphae"
"117","unidentified 33"
"118","anisoptera libellulidae"
"119","unidentified 39"
"120","unidentified larvae_44"
"121","curculionidae"
"122","hydraenidae fragment"
"123","diptera with_cocoon"
"124","unidentified larvae_57"
"125","trichodactylus"
"126","aquatic arthropod"
"127","crustacean fragment"
"128","invertebrate unidentified_larvae"
"129","unidentified adult"
"130","hemiptera fragment"
"131","terrestrial arthropod_fragment"
"132","insect fragment"
"133","scale"
"134","terrestrial fauna"
"135","other aquatic_fauna"
"136","terrestrial"
"137","detritusl"
"138","ampullariidae"
"139","chironomus sp_larvae"
"140","chironomus sp_pupae"
"141","gomphidae nymph"
"142","scarabaeidae adult"
"143","class osteichtyes"
"144","plant material_terrestrial"
"145","unidentified material"
"146","caprella"
"147","tanaidacea"
"148","gammaridea"
"149","ciclopoida"
"150","anomura"
"151","brachyura"
"152","brachyuralarvae"
"153","polichaetatubs"
"154","teleosteiscales"
"155","fruit flower"
"156","other plant_matter"
"157","terrestrial invertebrate"
"158","aquatic invertabrate"
"159","eggs scales"
"160","detrius"
"161","other"
"162","other plant_material"
"163","terrestrial invertabrate"
"164","vegetable remains"
"165","rest of_fishes"
"166","lyngbya"
"167","trichodesmium"
"168","mastogloia"
"169","thalassiothrix"
"170","nitzschia"
"171","chodatella"
"172","aspalachna"
"173","sapphirina"
"174","copepodite"
"175","oikopleura"
"176","bivalve larvae"
"177","fish eggs"
"178","microchaeta"
"179","glaucocystis"
"180","asterionella"
"181","gyrosigma"
"182","chaetoceros"
"183","eucampia"
"184","gonatozygon"
"185","actinotaenium"
"186","brown algae"
"187","thermocyclops"
"188","dinobryon"
"189","brachyuran larvae"
"190","brachyuran megalopa"
"191","leaves"
"192","unidentifed parts"
"193","unidentified adults"
"194","midge larvae_pupae"
"195","black fly_larvae"
"196","mayfly naiads"
"197","snipe fly_larvae"
"198","stonefly naiads"
"199","cumulative 29"
"200","arhynchobdellida"
"201","cumulative 36"
"202","stickleback eggs"
"203","larval fish"
"204","cumulative 39"
"205","zooplankton unid"
"206","cumulative 43"
"207","insecta unid"
"208","cumulative 52"
"209","aspatharia sinuata"
"210","ceriodaphnia eggs"
"211","povilla adusta_eggs"
"212","povilla adusta"
"213","watermite"
"214","barbus scale"
"215","unidentified seeds"
"216","hydrobiidae"
"217","achaeta"
"218","ephemeroptera imagines"
"219","ephemerellidae"
"220","nemouridae leuctridae"
"221","aeschnidae"
"222","cordulegastridae"
"223","calopterygidae"
"224","elmidae larvae_and_imagines"
"225","trichoptera imagines"
"226","philoptamidae"
"227","goeridae"
"228","sericostomatidae"
"229","myriapoda"
"230","hymenoptera imagines"
"231","diptera imagines"
"232","coleoptera imagines"
"233","coleoptera imagines_40"
"234","amphibia"
"235","coleoptera imagines_61"
"236","plecoptera imagines"
"237","coleoptera imagines_36"
"238","athericidae"
"239","coleoptera imagines_58"
"240","elmidae larvae_imagines"
"241","glossosomatidae"
"242","ga steropoda"
"243","organic matter"
"244","fish egg"
"245","calanoid copepods"
"246","invertebrate eggs"
"247","shrimp postlarvae"
"248","calanold copepods"
"249","macrophyte tissue"
"250","unidentified animals"
"251","umnicolidae hidrobia"
"252","trochacea"
"253","valvatidae"
"254","acteomicidae"
"255","gastropoda part"
"256","odontoceridae"
"257","cyclorrapha"
"258","nematcera"
"259","psycharidae"
"260","orthorrapha"
"261","ceratoponidae"
"262","aracnida"
"263","digested material"
"264","stones"
"265","land"
"266","paper"
"267","coleoptera noteridae"
"268","characidae scale"
"269","tissue"
"270","glass"
"271","ephemeroptra"
"272","ephemeropt era_siphlonuridae"
"273","hemiptera corixidae"
"274","plants"
"275","sialis sp"
"276","brevoortia tyrannus"
"277","alosa spp"
"278","dorosoma spp"
"279","unknown clupeid"
"280","morone saxatilis"
"281","morone americana"
"282","leiostomus xanthurus"
"283","bairdiella chrysoura"
"284","cynoscion regalis"
"285","micropogonias undulatus"
"286","unknown scieanid"
"287","anchoa spp"
"288","paralichthys dentatus"
"289","membras martinica"
"290","menidia menidia"
"291","anguilla rostrata"
"292","symphurus plagiusa"
"293","peprilus triacanthus"
"294","urophycis regia"
"295","trinectes maculatus"
"296","pomatomus saltatrix"
"297","eucinostomus argenteus"
"298","gobiosoma bosc"
"299","synodus foetens"
"300","strongylura marina"
"301","scophthalmus aquosus"
"302","mugil curema"
"303","sphoeroides maculatus"
"304","hypsoblennius hentzi"
"305","fundulus heteroclitus"
"306","unidentified fish_remains"
"307","callinectes sapidus"
"308","neomysis americana"
"309","squilla empusa"
"310","ovalipes ocellatus"
"311","lironeca ovalis"
"312","callinectes spp"
"313","penaeus setiferus"
"314","crangon septemspinosa"
"315","paleamonetes pugio"
"316","cancer irroratus"
"317","upogebia affinis"
"318","class bivalvia"
"319","mytilus edulis"
"320","all gastropods"
"321","all polychaetes"
"322","all hydroids"
"323","all sponges"
"324","chum ground_menhaden"
"325","bait menhaden_spot_etc"
"326","tomoptema"
"327","acan"
"328","thallassius massajae"
"329","daphniidae"
"330","cloeon"
"331","chiromonid"
"332","notonectid"
"333","appasus"
"334","veliid"
"335","trithemus"
"336","lestes"
"337","ischnura"
"338","africallagma"
"339","potamonautes sidneyi"
"340","palaemon capensis"
"341","micropterus"
"342","cilchristella aestuaria"
"343","glossogobius callidus"
"344","myxus capensis"
"345","organic material"
"346","other organisms"
"347","crysophyta"
"348","aphasmida"
"349","limnesia"
"350","chilopoda"
"351","unidentified prey"
"352","nonprey items"
"353","acartia sp"
"354","mysis sp"
"355","notonecta sp"
"356","x1phigenia truncata"
"357","limnaea truncatula"
"358","bryonensis"
"359","chaoborid larvae"
"360","trichopteran larvae"
"361","iphigenia truncata"
"362","pachymelania bryonensis"
"363","unidentifed items"
"364","keratella quadrata"
"365","asplanchna priodonta"
"366","brachionus angularis"
"367","b diversicornis"
"368","trichocerca capucina"
"369","other rotifera"
"370","diaphanosoma cf_mong"
"371","immature cladocera"
"372","adults copepodites"
"373","insecta larvae_nymphs"
"374","keratella cochlearis"
"375","k quadrata"
"376","b calyciflorus"
"377","t similis"
"378","polyarthra spp"
"379","notholca squamula"
"380","pompholyx sulcata"
"381","daphnia cucullata"
"382","diaphanosoma cf_mongolianum"
"383","chydorus sphaericus"
"384","leydigia leydigi"
"385","ilyocryptus sordidus"
"386","macrothrix laticornis"
"387","larvae chironomidae"
"388","larvae chaoborus_flavicans"
"389","nymphs diptera"
"390","knipowitschia caucasica"
"391","unidentified pisces"
"392","baccilariophyceae"
"393","zignemaphyceae"
"394","algae unknwon"
"395","vegetable materials_n_id"
"396","sporangium pteridophyta"
"397","protista"
"398","adult insect_terrestrial"
"399","adult insect_aquatic"
"400","adult insect_unknown"
"401","immature insect_aquatic"
"402","immature insect_aquatic_1"
"403","immature insect_unknown"
"404","eggs unknown"
"405","animal materials_unknwon"
"406","copepoda copepodids"
"407","moina sp"
"408","ceriodaphnia pulchella"
"409","iliocryptus sordidus"
"410","asplachna sp"
"411","larvae chaoborus"
"412","larvae trichoptera"
"413","nymphs insecta"
"414","nymphs odonata"
"415","nymphs ephemeroptera"
"416","b longirostris"
"417","c pulchella"
"418","i sordidus"
"419","decanoda"
"420","nymphs insecta_other"
"421","nymphs diptera_other"
"422","x52"
"423","bacillariaceae"
"424","crustacean shells"
"425","coptomus"
"426","palpomyia"
"427","algal flaments"
"428","macrophyte fragments"
"429","hydroid polyps"
"430","dipterous larvae"
"431","gastropod eggs"
"432","disposed sewage"
"433","unidentifed organic_material"
"434","prawns"
"435","e fmbriata"
"436","g melanopterus_juvenile"
"437","caranx spp_juvenile"
"438","elops spp_juvenile"
"439","trichiurus spp_juvenile"
"440","gobiid juvenile"
"441","unidentifed fsh"
"442","unidentifed food"
"443","other crabs"
"444","neritina spp"
"445","clupeids"
"446","gobiid"
"447","cyprinodontid"
"448","elopid"
"449","unidentifed fsh_and_fah_parts"
"450","iphigenia spp"
"451","aloidis spp"
"452","tagelus spp"
"453","bivalve spats"
"454","mytilid"
"455","gastropod mainly_neritina_spp"
"456","clibernarius africanus"
"457","other arthropod"
"458","ostracod cypris_larvae"
"459","organic detritus"
"460","piute sculpin"
"461","tendipedidae larvae"
"462","tendipedidae pupae"
"463","tahoe sucker"
"464","tui chub"
"465","lahontan redside"
"466","mountain"
"467","piute"
"468","lahontan speckled_dace"
"469","other trout"
"470","kokanee salmon"
"471","mountain whitefish"
"472","unitendified fish"
"473","anabaena sp"
"474","botyrococcus sp"
"475","cymatopleura sp"
"476","aulacoseiral melosira_sp"
"477","mougoetia sp"
"478","nitschia sp"
"479","calothrix sp"
"480","osciliatoria sp"
"481","lampetra"
"482","dorosoma"
"483","notemigonus"
"484","chironominae larvae_pupae"
"485","epheineroptera"
"486","miscellaneous invertebrates"
"487","chilopocla"
"488","sceloporus"
"489","micropters"
"490","lepomis"
"491","unidentifed fish_31"
"492","unidentifed fish_32"
"493","notemzgonus"
"494","unidentifed fish_egg"
"495","geraniaceae"
"496","lumbricus terrestris"
"497","tubifcidae sp"
"498","gordius aquaticus"
"499","erpobdella octoculata"
"500","valvata piscinalis"
"501","limnaea pereger"
"502","physa fontalis"
"503","bythynia tentaculata"
"504","plannrbis contortus"
"505","planorbis albus"
"506","planorbis complanatus"
"507","pisidium sp"
"508","sphaerium corneum"
"509","piona coccinea"
"510","lebertia porosa"
"511","hydrochoreutes ungulatus"
"512","hygrobates longipalpis"
"513","hydrarachna bicustata"
"514","corixa dentipes"
"515","arctocorisa germari"
"516","callicorixa praeusta"
"517","sigara distincta"
"518","sigara dorsalis"
"519","sigara falleni"
"520","sigara concinna"
"521","unidentifed corixidae"
"522","notonecta glauca"
"523","stalls lutaria_larvae"
"524","athripsodes aterrimus_larvae"
"525","mystacides azurea_larvae"
"526","leptoceridae sp_larvae"
"527","agraylea multipunctata_larvae"
"528","phryganea sp_larvae"
"529","limnephilus lunatus_larvae"
"530","limnephilus sp_larvae"
"531","hydroporus elegans_adult"
"532","haliplas fulvus_adult"
"533","ilybius fuliginosus_adult"
"534","chlaenius yestitus_adult"
"535","sphaeridium scarabeoides_adult"
"536","aphodius rufpes_adult"
"537","unidentifed insecta_adult"
"538","diptera larvae_indet"
"539","diptera adult_indet"
"540","cricotopus sp_larvae"
"541","microtendipes difinis_larvae"
"542","glypotendipes sp_larvae"
"543","phaenospectra sergentia_larvae"
"544","chironomus anthracinus_larvae"
"545","chironomidae larvae_indet"
"546","coenagrion sp"
"547","ostracoda sp"
"548","trout eggs"
"549","chiysicihys sp"
"550","synociontis sp"
"551","bones"
"552","chrysicthys sp"
"553","fine sand"
"554","coarse sand"
"555","rice"
"556","garri fibres"
"557","thread"
"558","filamentous g_reen_algae"
"559","fru its"
"560","oligochaetes segments"
"561","odonate nymphs"
"562","pentaneura larvae"
"563","pentaneura pupae"
"564","mosquito pupae"
"565","unidentified dipteran_larvae"
"566","insecta eggs"
"567","notonecitidae"
"568","mollusca bivalves"
"569","scales of_fsh"
"570","bones of_fsh"
"571","blue filamentous_algae"
"572","setac of_oligochaetes"
"573","decapoda craylish"
"574","adult liemiptera"
"575","triehopteran larvae"
"576","chironomuslarvae"
"577","chiron017111s pupae"
"578","insect eggs"
"579","fish retnains"
"580","chtronomus pupae"
"581","coleopteran larvae"
"582","decapoda crayfish"
"583","chrysichthys spp"
"584","cichlids"
"585","linidentified fish"
"586","green filamentous_algae"
"587","cricotopus bicinctus"
"588","limonia spp"
"589","anax strennus"
"590","megalagrion heterogamias_coenagrionidae_damselflies"
"591","cheumatopsyche pettiti_hydropsychidae"
"592","hydroptila arctia_hydroptilidae"
"593","oxyethira maya_hydroptilidae"
"594","arachnida hydracari_acari_water_mites"
"595","mollusca errina_aulacospira_lymnaeidae"
"596","crustacea atyoida_bisulcata_atyidae_shrimps"
"597","turbellaria dugesia_sp_planariidae_fatworms"
"598","teleostei probably_juvenile_0_mylciss"
"599","nostoc sp_cyanophyta"
"600","rhizoclonium sp_chlorophyta"
"601","mosses bryophyta_ectropothecium_sandwichense_hypnaceae"
"602","carabidae ground_beetles"
"603","elateridae click_beetles"
"604","nitidulidae sap_feeding_beetles"
"605","scarabaeidae lamellicorn_beetles"
"606","hemiptera nabis_spp_nabidae_damsel_bugs"
"607","reduviidae assassin_bugs"
"608","homoptera oliarus_spp_cixiidae_planthoppers"
"609","hymenoptera apis_mellifera_apidae_honey_bee"
"610","lepidoptera caterpillars"
"611","diplopoda milipedes"
"612","arachnida araneae_spiders"
"613","annelida lumbricidae_earthworms"
"614","amphibia anura_probably_rana_rugosa_wrinkled_frog"
"615","mollusca oxychilus_alliarius_garlic_snail"
"616","reptilia scincidae_probably_leiolopisma_mettalicum_metallic_skink"
"617","miscellaneous arthropod_parts"
"618","bosminidae"
"619","ilyocryptidae"
"620","macrothricidae"
"621","moinidae"
"622","sididae"
"623","invertebrate egg"
"624","unidentifed matter"
"625","hemipteroidea larvae"
"626","coleaptera larvae"
"627","d iptera"
"628","coarse lit_ter"
"629","crust acea"
"630","lepicioptera larvae"
"631","formic oidea"
"632","coleopteras larvae"
"633","coarse utter"
"634","pant matter"
"635","tem coleoptera"
